E_diff_12,E_diff_12_log
-6.74,
-8.98,
-11.61,
-11.09,
-6.78,
-6.28,
-8.15,
-7.61,
-10.35,
-7.39,
-7.88,
-11.24,
-12.47,
-7.92,
-4.52,
-6.19,
-4.8,
-8.1,
-5.96,
-4.26,
-9.06,
-8.28,
-8.97,
-7.12,
-7.26,
-9.54,
-9.56,
-6.7,
-8.0,
-9.21,
-6.49,
-7.64,
-9.8,
-7.73,
-3.17,
-7.0,
-7.31,
-8.26,
-10.25,
-9.31,
-12.44,
-4.68,
-9.78,
-8.84,
-9.24,
-9.34,
-7.82,
-6.6,
-10.2,
-5.59,
-7.12,
-7.75,
-8.3,
-7.25,
-9.2,
-8.04,
-7.38,
-9.16,
-7.41,
-7.59,
-9.83,
-7.81,
-9.05,
-6.79,
-7.13,
-10.68,
-6.96,
-7.97,
-9.49,
-7.33,
-5.81,
-10.18,
-6.07,
-7.76,
-9.27,
-7.33,
-10.19,
-6.73,
-10.05,
-11.28,
-6.91,
-4.24,
-11.84,
-3.37,
-10.09,
-10.17,
-7.07,
-5.69,
-4.43,
-3.79,
-9.73,
-4.57,
-7.02,
-9.72,
-10.0,
-7.27,
-7.72,
-8.93,
-10.6,
-6.31,
-9.68,
-10.82,
-6.46,
-8.95,
-9.43,
-12.76,
-10.69,
-3.46,
-9.35,
-11.68,
-10.14,
-4.97,
-7.85,
-8.1,
-4.85,
-8.5,
-9.34,
-12.92,
-10.33,
-8.74,
-9.36,
-6.94,
-6.26,
-7.58,
-12.83,
-4.98,
-7.09,
-6.42,
-6.8,
-8.76,
-5.74,
-8.13,
-11.8,
-4.53,
-7.14,
-9.96,
-9.37,
-12.47,
-5.9,
-11.09,
-8.78,
-5.09,
-4.49,
-8.33,
-9.53,
-9.4,
-7.27,
-10.52,
-13.57,
-8.47,
-7.05,
-3.7,
-5.92,
-8.09,
-10.22,
-7.65,
-6.15,
-4.62,
-5.21,
-10.34,
-6.92,
-6.47,
-10.66,
-5.84,
-4.85,
-9.61,
-7.28,
-7.32,
-3.77,
-4.59,
-8.72,
-9.73,
-9.01,
-8.42,
-10.39,
-4.71,
-12.06,
-8.34,
-10.06,
-7.62,
-4.48,
-7.07,
-10.67,
-10.14,
-6.45,
-6.41,
-9.82,
-4.88,
-9.63,
-3.96,
-5.91,
-7.5,
-8.04,
-6.68,
-10.84,
-6.83,
-9.23,
-12.29,
-10.01,
-8.41,
-6.43,
-12.53,
-10.34,
-6.99,
-7.42,
-7.89,
-10.55,
-9.76,
-9.81,
-9.58,
-9.87,
-4.57,
-7.9,
-9.38,
-10.63,
-6.66,
-4.6,
-10.88,
-14.16,
-9.35,
-9.87,
-7.35,
-9.13,
-10.25,
-6.38,
-6.47,
-11.15,
