feature,mean,sd
E_1,-12.473157894736842,3.3310960011668898
Pu1_1,0.008535215533360526,0.01671736841566833
Pu2_1,0.12104347897368421,0.23825861369535312
E_hybrid_1,-20.397105263157894,4.343139297972513
seedNumber_1,6.947368421052632,2.3703958891729986
seedEbest_1,-4.146578947368421,1.8187020562133145
E_3,-8.943947368421053,2.9540769258165125
seedNumber_3,3.3947368421052633,1.3056938444224706
E_diff_12,-0.013684210526315802,0.0843551389879966
pumin1_4u,0.31201226063157894,0.23986493564245487
pumin5_8u,0.3336945223421053,0.23381191652100955
pumin1_4d,0.27128592036842103,0.2075851814944193
pumin5_8d,0.19895341215789472,0.15541707924756643
