Feature,Group,Mean,Std,Weight_Percentage,Correlation
pumin1_4d,EXTRA,0.258710976,0.23214942656676565,14.35,0.24637488000194027
pumin5_8d,EXTRA,0.2389908299747826,0.22645555378988647,11.43,0.1962841941569972
pumin5_8u,EXTRA,0.2735705053130435,0.24341937354469206,2.52,-0.04327894765824849
pumin1_4u,EXTRA,0.3618621776395652,0.2730974944365,4.21,-0.07219111207850316
E_diff_12,EXTRA,-8.21595652173913,2.3428301285415087,5.06,-0.086839640841094
seedNumber_1,GROUP_1,8.265217391304347,2.739666364102714,16.91,0.290218953646689
Pu2_1,GROUP_1,0.012174603309804062,0.06631882334341896,1.69,0.029066689759298315
Pu1_1,GROUP_1,0.0038179333622189392,0.008715265032050175,1.18,0.02026606660898149
E_hybrid_1,GROUP_1,-28.14778260869565,5.736433461727905,1.39,-0.023833205936789864
Etotal_1,GROUP_1,-529.1428695652173,211.77206477025516,1.61,-0.02755809963975654
seedEbest_1,GROUP_1,-4.837826086956522,1.797440578538727,8.54,-0.14662891694969424
E_1,GROUP_1,-16.59504347826087,4.146376831378897,10.34,-0.1775077114655577
seedNumber_3,GROUP_3,3.0130434782608697,1.6333864807452332,7.59,0.13031371528748684
E_3,GROUP_3,-8.821304347826088,4.534793394375905,6.37,-0.10938445781714361
ED2_3,GROUP_3,139134.2377826087,346835.4674429692,6.81,-0.11689469774989683
